Interaction Detection Method	Binary call	Parent MI	Parent2 MI	Parent3 MI	Interaction Number	Information from		
MI:0004(affinity chromatography technology)	non-binary	MI:0004	MI:0400	MI:0401	304958	Rolland et al. 2014		
MI:0006(anti bait coimmunoprecipitation)	non-binary	MI:0004	MI:0400	MI:0401	37281	Rolland et al. 2014		
MI:0007(anti tag coimmunoprecipitation)	non-binary	MI:0004	MI:0400	MI:0401	142971	Rolland et al. 2014		
MI:0008(array technology)	binary	MI:0008	MI:0400	MI:0401	103	Rolland et al. 2014		
MI:0010(beta galactosidase complementation)	binary	MI:0010	MI:0010	MI:0090	29	Rolland et al. 2014		
MI:0011(beta lactamase complementation)	binary	MI:0011	MI:0011	MI:0090	27	Rolland et al. 2014		
MI:0012(bioluminescence resonance energy transfer)	binary	MI:0012	MI:0051	MI:0013	311	Rolland et al. 2014		
MI:0013(biophysical)	non-binary	MI:0013	MI:0013	MI:0013	20	Rolland et al. 2014		
MI:0016(circular dichroism)	non-binary	MI:0016	MI:0016	MI:0013	54	Rolland et al. 2014		
MI:0017(classical fluorescence spectroscopy)	non-binary	MI:0017	MI:0051	MI:0013	111	Rolland et al. 2014		
MI:0018(two hybrid)	binary	MI:0018	MI:0232	MI:0090	72540	Rolland et al. 2014		
MI:0019(coimmunoprecipitation)	non-binary	MI:0004	MI:0400	MI:0401	2514	Rolland et al. 2014		
MI:0020(transmission electron microscopy)	non-binary	MI:0020	MI:0040	MI:0428	111	Rolland et al. 2014		
MI:0027(cosedimentation)	non-binary	MI:0027	MI:0027	MI:0401	71	Rolland et al. 2014		
MI:0028(cosedimentation in solution)	non-binary	MI:0027	MI:0027	MI:0401	189	Rolland et al. 2014		
MI:0029(cosedimentation through density gradient)	non-binary	MI:0027	MI:0027	MI:0401	707	Rolland et al. 2014		
MI:0030(cross-linking study)	binary	MI:0030	MI:0030	MI:0401	12490	Rolland et al. 2014		
MI:0031(protein cross-linking with a bifunctional reagent)	binary	MI:0030	MI:0030	MI:0401	14	Rolland et al. 2014		
MI:0034(display technology)	binary	MI:0034	MI:0400	MI:0401	1078	Rolland et al. 2014		
MI:0038(dynamic light scattering)	non-binary	MI:0038	MI:0067	MI:0013	35	Rolland et al. 2014		
MI:0040(electron microscopy)	non-binary	MI:0040	MI:0040	MI:0428	115	Rolland et al. 2014		
MI:0042(electron paramagnetic resonance)	non-binary	MI:0042	MI:0043	MI:0013	4	Rolland et al. 2014		
MI:0047(far western blotting)	binary	MI:0047	MI:0047	MI:0047	1194	Rolland et al. 2014		
MI:0048(filamentous phage display)	binary	MI:0034	MI:0400	MI:0401	12	Rolland et al. 2014		
MI:0049(filter binding)	non-binary	MI:0892	MI:0400	MI:0401	859	Rolland et al. 2014		
MI:0051(fluorescence technology)	non-binary	MI:0051	MI:0051	MI:0013	68	Rolland et al. 2014		
MI:0052(fluorescence correlation spectroscopy)	binary	MI:0052	MI:0051	MI:0013	6	Rolland et al. 2014		
MI:0053(fluorescence polarization spectroscopy)	binary	MI:0053	MI:0051	MI:0013	767	Rolland et al. 2014		
MI:0054(fluorescence-activated cell sorting)	non-binary	MI:0054	MI:0051	MI:0013	128	Rolland et al. 2014		
MI:0055(fluorescent resonance energy transfer)	binary	MI:0055	MI:0051	MI:0013	2042	Rolland et al. 2014		
MI:0061(his pull down)	non-binary							
MI:0065(isothermal titration calorimetry)	binary	MI:0065	MI:0065	MI:0013	673	Rolland et al. 2014		
MI:0066(lambda phage display)	binary	MI:0034	MI:0400	MI:0401	6	Rolland et al. 2014		
MI:0067(light scattering)	non-binary	MI:0067	MI:0067	MI:0013	72	Rolland et al. 2014		
MI:0069(mass spectrometry studies of complexes)	non-binary	MI:0069	MI:0943	MI:0013	104	Rolland et al. 2014		
