Branch	Gene
0	TSPAN6
0	TNMD
0	DPM1
0	SCYL3
0	C1orf112
0	FGR
2	CFH
0	FUCA2
0	GCLC
0	NFYA
1	STPG1
0	NIPAL3
1	LAS1L
0	ENPP4
0	SEMA3F
0	CFTR
0	ANKIB1
0	CYP51A1
0	KRIT1
0	RAD52
3	BAD
0	LAP3
0	HS3ST1
0	AOC1
0	WNT16
0	HECW1
0	MAD1L1
0	LASP1
0	SNX11
3	TMEM176A
0	M6PR
1	KLHL13
0	CYP26B1
1	ICA1
0	DBNDD1
0	ALS2
1	CASP10
1	CFLAR
0	TFPI
0	NDUFAF7
0	RBM5
0	MTMR7
0	SLC7A2
0	ARF5
0	SARM1
0	POLDIP2
0	PLXND1
0	AK2
3	CD38
0	FKBP4
0	KDM1A
1	RBM6
0	CAMKK1
0	RECQL
0	CCDC132
1	ARHGAP33
0	NDUFAB1
0	PDK4
0	SLC22A16
0	ZMYND10
1	ABCB5
0	ARX
0	SLC25A13
0	ST7
0	CDC27
0	SLC4A1
0	CALCR
0	HCCS
0	DVL2
1	PRSS22
0	UPF1
0	SKAP2
0	SLC25A5
0	CCDC109B
0	HOXA11
0	POLR2J
0	DHX33
0	MEOX1
0	THSD7A
0	LIG3
0	RPAP3
1	ACSM3
1	AC004381.6
0	CIAPIN1
0	FAM214B
4	COPZ2
0	PRKAR2B
0	MSL3
0	CREBBP
0	BZRAP1
0	MPO
5	PON1
0	GCFC2
0	WDR54
0	CROT
0	ABCB4
0	KMT2E
1	RHBDD2
0	SOX8
0	IBTK
4	ZNF195
0	MYCBP2
0	FBXL3
3	ITGAL
2	PDK2
0	ITGA3
0	ZFX
0	LAMP2
0	GGNBP2
0	ITGA2B
0	ASB4
0	GDE1
3	C19orf60
0	CRLF1
0	OSBPL7
0	TMEM98
1	YBX2
4	KRT33A
0	ABCC8
5	CCL18
4	CCL3
0	SYNRG
0	CACNG3
1	TMEM132A
1	AP2B1
1	TAC1
3	ZNF263
3	CX3CL1
0	SPATA20
0	CACNA1G
3	TNFRSF12A
0	DLX6
0	MAP3K9
0	RALA
0	BAIAP2L1
0	JHDM1D
0	ETV1
0	AGK
1	ALDH3B1
0	TTC22
0	PHTF2
4	CCL26
0	FARP2
0	USH1C
0	GGCT
1	DBF4
0	TBXA2R
0	IFRD1
8	LGALS14
0	COX10
0	GTF2IRD1
0	PAF1
0	VPS41
0	ARHGAP44
0	ELAC2
1	SCIN
0	ARSD
1	PNPLA4
1	MYH13
0	ADIPOR2
3	CDKL3
0	UPP2
0	MARK4
0	PROM1
0	CCDC124
10	CEACAM21
0	PAFAH1B1
1	NOS2
0	DNAH9
0	KIAA0100
0	SLC13A2
0	GAS7
3	TRAPPC6A
0	MATK
3	CD79B
1	SCN4A
0	ST7L
1	TKTL1
0	PAX6
0	RPUSD1
0	RHBDF1
0	LUC7L
0	CACNA2D2
0	BAIAP3
0	TSR3
0	PIGQ
0	CRAMP1L
0	TEAD3
0	SELE
0	DNAJC11
1	FMO3
0	MYLIP
0	NOX1
0	E2F2
0	PSMB1
0	SYN1
0	JARID2
0	CDKL5
0	CAMK1G
0	NADK
0	TFAP2B
0	TFAP2D
0	DLEC1
0	CYTH3
0	ADAM22
1	SYPL1
0	CYB561
0	SPAG9
0	CELSR3
0	AASS
3	PLEKHG6
4	SS18L2
0	MPND
0	MGST1
0	CRY1
4	PGLYRP1
0	NFIX
0	ST3GAL1
1	MMP25
3	IL32
0	PKD1
0	MAPK8IP2
0	MED24
0	RHOBTB2
0	HEATR5B
0	SEC62
0	RPS20
0	CSDE1
0	UBE3C
0	REV3L
0	TENM1
0	PAX7
0	MASP2
0	IYD
2	FAM76A
1	TRAF3IP3
0	POMT2
0	VTA1
0	MLXIPL
0	BAZ1B
0	RANBP9
0	ETV7
0	SPRTN
0	METTL13
0	DYRK4
0	ZNF207
0	UQCRC1
1	STARD3NL
0	CD9
0	HHATL
0	NCAPD2
0	IFFO1
2	PHF7
0	SEMA3G
0	NISCH
0	STAB1
3	FUZ
0	SLC6A13
0	IDS
11	PRSS3
3	ZNF200
2	CD4
0	LRRC23
0	BTK
4	HFE
0	SCMH1
0	FYN
0	HIVEP2
1	FMO1
0	TCEB3
0	LYPLA2
0	CLCN6
0	MRC2
0	NME2
1	SLC6A7
0	TSPAN9
0	BTBD7
1	APBA3
0	MKS1
0	ABHD5
0	KAL1
0	AKAP8L
0	MBTD1
1	UTP18
0	RNF216
1	TTC19
0	PTBP1
0	DPF1
