Taxid	Virus Name	Parent Viral Name	Baltimore	Family	Host
11788	Abelson murine leukemia virus	Abelson murine leukemia virus	ssRNA-RT	Retroviridae	vertebrates
648242	Adeno-associated virus 2 (isolate Srivastava/1982)	Adeno-associated virus 2	ssDNA	Parvoviridae	vertebrates
10497	African swine fever virus	African swine fever virus	dsDNA	Asfarviridae	"invertebrates,vertebrates"
10500	African swine fever virus (isolate Tick/Malawi/Lil 20-1/1983)	African swine fever virus	dsDNA	Asfarviridae	"invertebrates,vertebrates"
561444	African swine fever virus (isolate Warthog/Namibia/Wart80/1980)	African swine fever virus	dsDNA	Asfarviridae	"invertebrates,vertebrates"
10498	African swine fever virus (strain BA71V)	African swine fever virus	dsDNA	Asfarviridae	"invertebrates,vertebrates"
650132	Aichi virus A846/88	Aichi virus	(+)ssRNA	Picornaviridae	"human,vertebrates"
172148	Alkhumra hemorrhagic fever virus	Alkhumra hemorrhagic fever virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
337042	Alphapapillomavirus 7	Alphapapillomavirus 7	dsDNA	Papillomaviridae	"human,vertebrates"
337041	Alphapapillomavirus 9	Alphapapillomavirus 9	dsDNA	Papillomaviridae	human
85618	Ateline gammaherpesvirus 3	Ateline gammaherpesvirus 3	dsDNA	Herpesviridae	vertebrates
46015	Autographa californica nucleopolyhedrovirus	Autographa californica nucleopolyhedrovirus	dsDNA	Baculoviridae	invertebrates
11862	Avian erythroblastosis virus (strain Sloan-Kettering)	Avian erythroblastosis virus	ssRNA-RT	Retroviridae	vertebrates
11122	Avian infectious bronchitis virus (strain Beaudette)	Avian infectious bronchitis virus	(+)ssRNA	Coronaviridae	"human,vertebrates"
644440	Infectious bursal disease virus chicken/UK/UK661/1989	Infectious bursal disease virus	dsRNA	Birnaviridae	vertebrates
269446	Avian leukosis virus RSA (RSV-SRA)	Avian leukosis virus	ssRNA-RT	Retroviridae	vertebrates
11866	Avian myeloblastosis virus	Avian myeloblastosis virus	ssRNA-RT	Retroviridae	vertebrates
354090	Avian sarcoma virus (STRAIN UR2)	Avian sarcoma virus	ssRNA-RT	Retroviridae	vertebrates
694007	Bat coronavirus HKU4	Bat coronavirus 	(+)ssRNA	Coronaviridae	vertebrates
694008	Bat coronavirus HKU5	Bat coronavirus 	(+)ssRNA	Coronaviridae	vertebrates
694006	Bat coronavirus HKU9	Bat coronavirus 	(+)ssRNA	Coronaviridae	vertebrates
40051	Bluetongue virus	Bluetongue virus	dsRNA	Reoviridae	"invertebrates,vertebrates"
10900	Bluetongue virus (serotype 10 / isolate USA)	Bluetongue virus	dsRNA	Reoviridae	"invertebrates,vertebrates"
928296	Borna disease virus (strain V)	Borna disease virus 	(-)ssRNA	Bornaviridae	vertebrates
10320	Bovine alphaherpesvirus 1	Bovine alphaherpesvirus 1	dsDNA	Herpesviridae	vertebrates
10323	Bovine herpesvirus 1.1 (strain Cooper)	Bovine herpesvirus 1.1	dsDNA	Herpesviridae	vertebrates
31518	Bovine herpesvirus 1.1 (strain Jura)	Bovine herpesvirus 1.1	dsDNA	Herpesviridae	vertebrates
10324	Bovine herpesvirus 1.1 (strain P8-2)	Bovine herpesvirus 1.1	dsDNA	Herpesviridae	vertebrates
10385	Bovine herpesvirus 4	Bovine herpesvirus 4	dsDNA	Herpesviridae	vertebrates
79889	Bovine herpesvirus 1.1	Bovine herpesvirus 1.1	dsDNA	Herpesviridae	vertebrates
417296	Bovine immunodeficiency virus (isolate R29)	Bovine immunodeficiency virus	ssRNA-RT	Retroviridae	vertebrates
11901	Bovine leukemia virus	Bovine leukemia virus	ssRNA-RT	Retroviridae	vertebrates
10559	Deltapapillomavirus 4	Deltapapillomavirus 4	dsDNA	Papillomaviridae	vertebrates
337052	Deltapapillomavirus 4	Deltapapillomavirus 4	dsDNA	Papillomaviridae	vertebrates
10560	Bovine papillomavirus type 2	Bovine papillomavirus type 2	dsDNA	Papillomaviridae	vertebrates
11099	Bovine viral diarrhea virus 1	Bovine viral diarrhea virus 1	(+)ssRNA	Flaviviridae	vertebrates
11100	Bovine viral diarrhea virus (isolate NADL)	Bovine viral diarrhea virus	(+)ssRNA	Flaviviridae	"human,vertebrates"
54315	Bovine viral diarrhea virus 2	Bovine viral diarrhea virus 2	(+)ssRNA	Flaviviridae	"human,vertebrates"
35304	Bunyamwera virus	Bunyamwera virus	(-)ssRNA	Bunyaviridae	"human,invertebrates,vertebrates"
11232	Canine distemper virus	Canine distemper virus	(-)ssRNA	Paramyxoviridae	vertebrates
11233	Canine distemper virus (strain Onderstepoort)	Canine distemper virus	(-)ssRNA	Paramyxoviridae	vertebrates
11660	Caprine arthritis encephalitis virus	Caprine arthritis encephalitis virus	ssRNA-RT	Retroviridae	vertebrates
11273	Chandipura virus (strain I653514)	Chandipura virus 	(-)ssRNA	Rhabdoviridae	"human,invertebrates,vertebrates"
